"","movie_title","review_link"
"1","Jurassic World<U+00A0>","https://www.imdb.com/title/tt0369610/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"2","Avengers: Age of Ultron<U+00A0>","https://www.imdb.com/title/tt2395427/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"3","The Dark Knight Rises<U+00A0>","https://www.imdb.com/title/tt1345836/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"4","The Hunger Games<U+00A0>","https://www.imdb.com/title/tt1392170/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"5","Captain America: Civil War<U+00A0>","https://www.imdb.com/title/tt3498820/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"6","Deadpool<U+00A0>","https://www.imdb.com/title/tt1431045/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"7","Furious 7<U+00A0>","https://www.imdb.com/title/tt2820852/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"8","Guardians of the Galaxy<U+00A0>","https://www.imdb.com/title/tt2015381/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"9","Batman v Superman: Dawn of Justice<U+00A0>","https://www.imdb.com/title/tt2975590/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"10","Maleficent<U+00A0>","https://www.imdb.com/title/tt1587310/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"11","Ted<U+00A0>","https://www.imdb.com/title/tt1637725/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"12","Thor: The Dark World<U+00A0>","https://www.imdb.com/title/tt1981115/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"13","The Revenant<U+00A0>","https://www.imdb.com/title/tt1663202/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"14","Lincoln<U+00A0>","https://www.imdb.com/title/tt0443272/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"15","Thor<U+00A0>","https://www.imdb.com/title/tt0800369/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"16","Ant-Man<U+00A0>","https://www.imdb.com/title/tt0478970/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"17","Rise of the Planet of the Apes<U+00A0>","https://www.imdb.com/title/tt1318514/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"18","Captain America: The First Avenger<U+00A0>","https://www.imdb.com/title/tt0458339/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"19","Fifty Shades of Grey<U+00A0>","https://www.imdb.com/title/tt2322441/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"20","Suicide Squad<U+00A0>","https://www.imdb.com/title/tt1386697/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"21","X-Men: Apocalypse<U+00A0>","https://www.imdb.com/title/tt3385516/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"22","American Hustle<U+00A0>","https://www.imdb.com/title/tt1800241/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"23","Les Miserables<U+00A0>","https://www.imdb.com/title/tt1707386/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"24","Star Trek Beyond<U+00A0>","https://www.imdb.com/title/tt2660888/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"25","Into the Woods<U+00A0>","https://www.imdb.com/title/tt2180411/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"26","Super 8<U+00A0>","https://www.imdb.com/title/tt1650062/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"27","Prometheus<U+00A0>","https://www.imdb.com/title/tt1446714/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"28","Life of Pi<U+00A0>","https://www.imdb.com/title/tt0454876/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"29","Ghostbusters<U+00A0>","https://www.imdb.com/title/tt1289401/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"30","Ghostbusters<U+00A0>","https://www.imdb.com/title/tt1289401/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"31","Now You See Me<U+00A0>","https://www.imdb.com/title/tt1670345/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"32","The Bourne Legacy<U+00A0>","https://www.imdb.com/title/tt1194173/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"33","300: Rise of an Empire<U+00A0>","https://www.imdb.com/title/tt1253863/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"34","The Girl with the Dragon Tattoo<U+00A0>","https://www.imdb.com/title/tt1568346/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"35","The Maze Runner<U+00A0>","https://www.imdb.com/title/tt1790864/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"36","Independence Day: Resurgence<U+00A0>","https://www.imdb.com/title/tt1628841/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"37","Pacific Rim<U+00A0>","https://www.imdb.com/title/tt1663662/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
